"key","message","comment","context"
"Activate on","Activar el","",""
"Activate the user from the specified date.","Activar al usuario a partir de la fecha especificada.","",""
"Active","Activo","",""
"Active sessions","Sesiones activas","",""
"Address","Dirección","",""
"Administration","Administración","",""
"All Actions","Todas las acciones","",""
"All Charts","Todos los gráficos","",""
"All Custom Views","Todas las vistas personalizadas","",""
"All Documents","Todos los documentos","",""
"All Menu Help","Toda la ayuda de menús","",""
"All Menus","Todos los menús","",""
"All Models","Todos los modelos","",""
"All Modules","Todos los módulos","",""
"All Schedules","Todas las programaciones","",""
"All Selects","Todas las selecciones","",""
"All Teams","Todos los equipos","",""
"All Themes","Todos los temas","",""
"All Translations","Todas las traducciones","",""
"All View Help","Toda la ayuda de vistas","",""
"All Views","Todas las vistas","",""
"All jobs have been restarted.","Se han reiniciado todos los trabajos.","",""
"All the customizations will be lost. Are you sure?","Se perderán todas las personalizaciones. ¿Está seguro?","",""
"All views have been restored (%s).","Se han restaurado todas las vistas (%s).","",""
"Allow","Permitir","",""
"Allow this theme to be used by users","Permitir que los usuarios utilicen este tema","",""
"Always","Siempre","",""
"Amber","Ámbar","",""
"An error occurred while validating the configuration.","Ocurrió un error al validar la configuración.","",""
"An unique permission name.","Un nombre de permiso único.","",""
"Application","Aplicación","",""
"Archived","Archivado","",""
"Are you sure you want to disable multi-factor authentication? Without it, your account will only be protected by your password, which may reduce security. This will clear all your multi-factor authentication settings.","¿Está seguro de que desea desactivar la autenticación multifactor? Sin ella, su cuenta solo estará protegida por su contraseña, lo que puede reducir la seguridad. Esto eliminará toda la configuración de autenticación multifactor.","",""
"Are you sure you want to enable multi-factor authentication? You’ll be asked for an additional verification code at sign-in to help keep your account secure.","¿Está seguro de que desea activar la autenticación multifactor? Al iniciar sesión se le solicitará un código de verificación adicional para ayudar a mantener segura su cuenta.","",""
"Are you sure you want to remove this authentication method? You will no longer be able to use it for verification. Make sure you have another active multi-factor authentication method configured to avoid losing access to your account.","¿Está seguro de que desea eliminar este método de autenticación? Ya no podrá utilizarlo para la verificación. Asegúrese de tener configurado otro método de autenticación multifactor activo para evitar perder el acceso a su cuenta.","",""
"Are you sure? The device will be signed out.","¿Está seguro? Se cerrará la sesión del dispositivo.","",""
"Assigned to","Asignado a","",""
"Attached to","Adjunto a","",""
"Attributes","Atributos","",""
"Attrs","Atributos","",""
"Audit event type","Tipo de evento de auditoría","",""
"Authentication session expired. Please log in again.","La sesión de autenticación ha caducado. Inicie sesión nuevamente.","",""
"Authenticator app","Aplicación de autenticación","",""
"Authenticator app method has been removed.","Se ha eliminado el método de aplicación de autenticación.","",""
"Authenticator app method has been selected as default.","Se ha seleccionado el método de aplicación de autenticación como predeterminado.","",""
"Authenticator app method has been verified and enabled.","Se ha verificado y activado el método de aplicación de autenticación.","",""
"Author","Autor","",""
"Authorization","Autorización","",""
"Authorized roles","Roles autorizados","",""
"Auto","Automático","",""
"Available for users","Disponible para los usuarios","",""
"Below are your recovery codes. Each code can be used only once.<br>Please store these codes in a safe and secure place. They will allow you to access your account if you lose access to your primary authentication method.","A continuación se muestran sus códigos de recuperación. Cada código solo puede utilizarse una vez.<br>Guarde estos códigos en un lugar seguro. Le permitirán acceder a su cuenta si pierde el acceso a su método de autenticación principal.","",""
"Black","Negro","",""
"Block the user","Bloquear al usuario","",""
"Block the user for an indefinite period.","Bloquear al usuario por tiempo indefinido.","",""
"Blue","Azul","",""
"Blue Grey","Gris azulado","",""
"Body","Cuerpo","",""
"Boolean","Booleano","",""
"Brown","Marrón","",""
"Button","Botón","",""
"Calendar","Calendario","",""
"Can customize","Puede personalizar","",""
"Can read","Puede leer","",""
"Can share","Puede compartir","",""
"Can write","Puede escribir","",""
"Canceled","Cancelado","",""
"Cards","Tarjetas","",""
"Category","Categoría","",""
"Category name to group action menus.","Nombre de la categoría para agrupar los menús de acciones.","",""
"Change Password","Cambiar contraseña","",""
"Change password","Cambiar contraseña","",""
"Change the password","Cambiar la contraseña","",""
"Chart","Gráfico","",""
"Check constraint violation","Infracción de restricción de comprobación","",""
"Client side js expression","Expresión JavaScript del lado del cliente","",""
"Closed","Cerrado","",""
"Code","Código","",""
"Code length should be greater than 2.","La longitud del código debe ser mayor que 2.","",""
"Collapse","Contraer","",""
"Color","Color","",""
"Column sequence","Secuencia de columnas","",""
"Come back later. There are no messages in this folder...","Vuelva más tarde. No hay mensajes en esta carpeta...","",""
"Comma separated list of params for the condition.","Lista de parámetros separados por comas para la condición.","",""
"Comment","Comentario","",""
"Computed","Calculado","",""
"Concurrent updates error","Error de actualizaciones simultáneas","",""
"Condition","Condición","",""
"Condition params","Parámetros de la condición","",""
"Condition to check","Condición que se debe comprobar","",""
"Conditions","Condiciones","",""
"Configuration","Configuración","",""
"Configure","Configurar","",""
"Confirm new password","Confirmar nueva contraseña","",""
"Confirm new password of the user (must be identical to the new password)","Confirmar la nueva contraseña del usuario (debe ser idéntica a la nueva contraseña)","",""
"Confirm password doesn't match with new password.","La contraseña de confirmación no coincide con la nueva contraseña.","",""
"Consumed","Consumido","",""
"Content","Contenido","",""
"Content type","Tipo de contenido","",""
"Context field","Campo de contexto","",""
"Context field target","Destino del campo de contexto","",""
"Context field target name","Nombre del destino del campo de contexto","",""
"Context field title","Título del campo de contexto","",""
"Context field value","Valor del campo de contexto","",""
"Create","Crear","",""
"Create API key","Crear clave de API","",""
"Create new API key","Crear una nueva clave de API","",""
"Created","Creado","",""
"Created by","Creado por","",""
"Created on","Creado el","",""
"Created on:","Creado el:","",""
"Cron","Cron","",""
"Cron expression is required.","Se requiere una expresión cron.","",""
"Current state","Estado actual","",""
"Custom","Personalizado","",""
"Custom Fields","Campos personalizados","",""
"Custom Models","Modelos personalizados","",""
"Custom field","Campo personalizado","",""
"Custom fields","Campos personalizados","",""
"Custom model","Modelo personalizado","",""
"Custom models","Modelos personalizados","",""
"Custom-ManyToMany","Personalizado: muchos a muchos","",""
"Custom-ManyToOne","Personalizado: muchos a uno","",""
"Custom-OneToMany","Personalizado: uno a muchos","",""
"Cyan","Cian","",""
"Dark","Oscuro","",""
"Dashboard","Panel de control","",""
"Data","Datos","",""
"Date","Fecha","",""
"DateTime","Fecha y hora","",""
"Decimal","Decimal","",""
"Deep Orange","Naranja intenso","",""
"Deep Purple","Morado intenso","",""
"Default","Predeterminado","",""
"Default home action.","Acción de inicio predeterminada.","",""
"Default method","Método predeterminado","",""
"Default value","Valor predeterminado","",""
"Define a name for the theme. <b>light</b> or <b>dark</b> can be used to override built-in themes.","Defina un nombre para el tema. Puede utilizar <b>light</b> o <b>dark</b> para sobrescribir los temas incorporados.","",""
"Delete","Eliminar","",""
"Dependent features","Características dependientes","",""
"Dependent modules","Módulos dependientes","",""
"Depends","Depende de","",""
"Depends On","Depende de","",""
"Description","Descripción","",""
"Details","Detalles","",""
"Devices","Dispositivos","",""
"Directories","Directorios","",""
"Directory","Directorio","",""
"Disable multi-factor authentication","Desactivar la autenticación multifactor","",""
"Disable the user from the specified date.","Desactivar al usuario a partir de la fecha especificada.","",""
"Disabled","Desactivado","",""
"Display messages","Mostrar mensajes","",""
"Display messages and followers","Mostrar mensajes y seguidores","",""
"Do not make the theme available","No habilitar el tema","",""
"Document","Documento","",""
"Documents","Documentos","",""
"Domain","Dominio","",""
"Domain filter as condition.","Filtro de dominio como condición.","",""
"Download","Descargar","",""
"Email","Correo electrónico","",""
"Email code","Código por correo electrónico","",""
"Email code expires at","El código por correo electrónico caduca el","",""
"Email confirmation method has been removed.","Se ha eliminado el método de confirmación por correo electrónico.","",""
"Email confirmation method has been selected as default.","Se ha seleccionado el método de confirmación por correo electrónico como predeterminado.","",""
"Email confirmation method has been verified and enabled.","Se ha verificado y activado el método de confirmación por correo electrónico.","",""
"Email verification code","Código de verificación por correo electrónico","",""
"Enable multi-factor authentication","Activar la autenticación multifactor","",""
"Enabled","Activado","",""
"Encryption error","Error de cifrado","",""
"Encryption key might be wrong.","Es posible que la clave de cifrado sea incorrecta.","",""
"English","Inglés","",""
"Enter the code from your authenticator app.","Introduzca el código de su aplicación de autenticación.","",""
"Enter the code received by email.","Introduzca el código recibido por correo electrónico.","",""
"Enter this secret key manually in your authenticator app if you can't scan the QR code.","Introduzca manualmente esta clave secreta en su aplicación de autenticación si no puede escanear el código QR.","",""
"Enter your 6-digit verification code","Introduzca su código de verificación de 6 dígitos","",""
"Enum","Enumeración","",""
"Enum type","Tipo de enumeración","",""
"Error changing password","Error al cambiar la contraseña","",""
"Error message","Mensaje de error","",""
"Event","Evento","",""
"Event type","Tipo de evento","",""
"Expiration date is invalid","La fecha de caducidad no es válida","",""
"Expire at","Caduca el","",""
"Expired","Caducado","",""
"Expires","Caduca","",""
"Expires on","Caduca el","",""
"Expires on:","Caduca el:","",""
"Export","Exportar","",""
"Extension","Extensión","",""
"Failed to send the verification code","No se pudo enviar el código de verificación","",""
"False","Falso","",""
"Favorite","Favorito","",""
"Favorites","Favoritos","",""
"Field","Campo","",""
"Field is required.","El campo es obligatorio.","",""
"Fields","Campos","",""
"File","Archivo","",""
"File added","Archivo agregado","",""
"File name","Nombre del archivo","",""
"File name is not allowed: {0}","El nombre del archivo no está permitido: {0}","",""
"File path","Ruta del archivo","",""
"File removed","Archivo eliminado","",""
"File system","Sistema de archivos","",""
"File type","Tipo de archivo","",""
"File type is not allowed: {0}","El tipo de archivo no está permitido: {0}","",""
"Files","Archivos","",""
"Filter custom","Filtro personalizado","",""
"Filter files","Filtrar archivos","",""
"Filter not found","No se encontró el filtro","",""
"Filter view","Vista de filtro","",""
"Filters","Filtros","",""
"Flags","Indicadores","",""
"Force password change","Forzar cambio de contraseña","",""
"Force the user to change their password at next login.","Forzar al usuario a cambiar su contraseña en el próximo inicio de sesión.","",""
"Form","Formulario","",""
"Form record","Registro del formulario","",""
"Form records","Registros del formulario","",""
"Form view","Vista de formulario","",""
"Form width","Ancho del formulario","",""
"French","Francés","",""
"From","Desde","",""
"Fullname","Nombre completo","",""
"Fully qualified object name or wild card package name.","Nombre completo del objeto o nombre de paquete con comodines.","",""
"Gantt","Gantt","",""
"General","General","",""
"Generate access token for each application you use that needs access to the API.","Genere un token de acceso para cada aplicación que utilice y que necesite acceder a la API.","",""
"Generate new recovery codes","Generar nuevos códigos de recuperación","",""
"Generating new recovery codes will invalidate your existing ones. Do you want to continue?","Al generar nuevos códigos de recuperación se invalidarán los actuales. ¿Desea continuar?","",""
"Green","Verde","",""
"Grey","Gris","",""
"Grid","Cuadrícula","",""
"Grid view","Vista de cuadrícula","",""
"Group","Grupo","",""
"Group by","Agrupar por","",""
"Groups","Grupos","",""
"Help","Ayuda","",""
"Help Management","Gestión de ayuda","",""
"Help link","Enlace de ayuda","",""
"Hidden","Oculto","",""
"Hidden menu","Menú oculto","",""
"Hide if","Ocultar si","",""
"High","Alta","",""
"Home action","Acción de inicio","",""
"Icon","Icono","",""
"Icon background","Fondo del icono","",""
"Import","Importar","",""
"Important","Importante","",""
"In Progress","En curso","",""
"Inbox","Bandeja de entrada","",""
"Inbox is empty!","¡La bandeja de entrada está vacía!","",""
"Include if","Incluir si","",""
"Increment","Incremento","",""
"Indigo","Índigo","",""
"Information","Información","",""
"Initial value","Valor inicial","",""
"Inline","En línea","",""
"Integer","Entero","",""
"Invalid XML.","XML no válido.","",""
"Invalid cron :","Cron no válido:","",""
"Invalid field value.","Valor de campo no válido.","",""
"Invalid password","Contraseña no válida","",""
"Invalid permission","Permiso no válido","",""
"Invalid use of action-record: %s, must be the last action.","Uso no válido de action-record: %s; debe ser la última acción.","",""
"Invalid verification code","Código de verificación no válido","",""
"Inverse","Inverso","",""
"Is archived","Está archivado","",""
"Is delegated","Está delegado","",""
"Is directory","Es directorio","",""
"Is read","Está leído","",""
"Is starred","Está marcado como favorito","",""
"Items","Elementos","",""
"Job","Trabajo","",""
"Job Management","Gestión de trabajos","",""
"Job has been updated.","Se ha actualizado el trabajo.","",""
"Json","JSON","",""
"Json model","Modelo JSON","",""
"Kanban","Kanban","",""
"Key","Clave","",""
"Label","Etiqueta","",""
"Language","Idioma","",""
"Last activity:","Última actividad:","",""
"Last modified","Última modificación","",""
"Last password update date","Fecha de la última actualización de contraseña","",""
"Last used","Último uso","",""
"Last used at:","Último uso el:","",""
"Left menu","Menú izquierdo","",""
"Light","Claro","",""
"Light Blue","Azul claro","",""
"Light Green","Verde claro","",""
"Lime","Lima","",""
"Link","Enlace","",""
"List of devices that have logged into your account. Revoke any sessions that you do not recognize.","Lista de dispositivos que han iniciado sesión en su cuenta. Revoque las sesiones que no reconozca.","",""
"Login","Inicio de sesión","",""
"Low","Baja","",""
"MFA_EMAIL_BODY","MFA_EMAIL_BODY","",""
"MFA_EMAIL_BODY_CODE","MFA_EMAIL_BODY_CODE","",""
"MFA_EMAIL_BODY_CODE_CONFIRM","MFA_EMAIL_BODY_CODE_CONFIRM","",""
"MFA_EMAIL_SUBJECT","MFA_EMAIL_SUBJECT","",""
"MFA_EMAIL_SUBJECT_CONFIRM","MFA_EMAIL_SUBJECT_CONFIRM","",""
"Mail","Correo","",""
"Make theme available","Habilitar el tema","",""
"Manage 2FA","Administrar 2FA","",""
"Manage API keys","Administrar claves de API","",""
"ManyToMany","Muchos a muchos","",""
"ManyToOne","Muchos a uno","",""
"Mapped by","Mapeado por","",""
"Max","Máximo","",""
"Max size","Tamaño máximo","",""
"Max size 4MB.","Tamaño máximo de 4 MB.","",""
"Members","Miembros","",""
"Menu","Menú","",""
"Menu Help","Ayuda del menú","",""
"Menu Item","Elemento de menú","",""
"Menu Items","Elementos de menú","",""
"Menu background","Fondo del menú","",""
"Menu icon","Icono del menú","",""
"Menu order","Orden del menú","",""
"Menu parent","Menú superior","",""
"Menu title","Título del menú","",""
"Menus","Menús","",""
"Message","Mensaje","",""
"Messaging panel","Panel de mensajería","",""
"Meta file","Archivo de metadatos","",""
"Meta model","Modelo de metadatos","",""
"Meta permission","Permiso de metadatos","",""
"MetaScheduleParam","MetaScheduleParam","",""
"Mfa method","Método MFA","",""
"Min","Mínimo","",""
"Min size","Tamaño mínimo","",""
"Mobile menu","Menú móvil","",""
"Model","Modelo","",""
"Model Management","Gestión de modelos","",""
"Model field","Campo del modelo","",""
"Models","Modelos","",""
"Modified","Modificado","",""
"Module","Módulo","",""
"Module Management","Gestión de módulos","",""
"Module to check","Módulo que se debe comprobar","",""
"Modules","Módulos","",""
"Multi-Factor Authentication","Autenticación multifactor","",""
"Multi-factor authentication has been disabled.","Se ha desactivado la autenticación multifactor.","",""
"Multi-factor authentication has been enabled.","Se ha activado la autenticación multifactor.","",""
"Multi-factor authentication methods","Métodos de autenticación multifactor","",""
"My Documents","Mis documentos","",""
"My Teams","Mis equipos","",""
"My open tasks","Mis tareas abiertas","",""
"Name","Nombre","",""
"Name field","Campo de nombre","",""
"Name length should be greater than 2.","La longitud del nombre debe ser mayor que 2.","",""
"Navigation","Navegación","",""
"New","Nuevo","",""
"New key","Nueva clave","",""
"New password","Nueva contraseña","",""
"New password is required.","Se requiere una nueva contraseña.","",""
"New password must be different.","La nueva contraseña debe ser diferente.","",""
"New password of the user","Nueva contraseña del usuario","",""
"Next value","Siguiente valor","",""
"No API key","No hay claves de API","",""
"No active sessions","No hay sesiones activas","",""
"No archived messages!","¡No hay mensajes archivados!","",""
"No authenticated user","No hay ningún usuario autenticado","",""
"No help","No hay ayuda","",""
"No important messages!","¡No hay mensajes importantes!","",""
"No messages","No hay mensajes","",""
"Normal","Normal","",""
"Not allowed","No permitido","",""
"Object","Objeto","",""
"Object Storage","Almacenamiento de objetos","",""
"Object name","Nombre del objeto","",""
"On change","Al cambiar","",""
"On click","Al hacer clic","",""
"On create","Al crear","",""
"On new","Al crear uno nuevo","",""
"On save","Al guardar","",""
"On update","Al actualizar","",""
"OneToMany","Uno a muchos","",""
"OneToOne","Uno a uno","",""
"Only if","Solo si","",""
"Only use this menu-item if the given expression is true (ie `if` condition).","Utilice este elemento de menú solo si la expresión indicada es verdadera (condición `if`).","",""
"Only use this menu-item if the given module is installed (ie `if-module` condition).","Utilice este elemento de menú solo si el módulo indicado está instalado (condición `if-module`).","",""
"Options","Opciones","",""
"Orange","Naranja","",""
"Order by","Ordenar por","",""
"Overview","Resumen","",""
"Owner","Propietario","",""
"PASSWORD_RESET_EMAIL_BODY","PASSWORD_RESET_EMAIL_BODY","",""
"PASSWORD_RESET_EMAIL_SUBJECT","PASSWORD_RESET_EMAIL_SUBJECT","",""
"Package","Paquete","",""
"Padding","Relleno","",""
"Panel","Panel","",""
"Panel mail display","Visualización del correo en el panel","",""
"Params","Parámetros","",""
"Parent","Superior","",""
"Parent menu","Menú superior","",""
"Password","Contraseña","",""
"Password changed successfully.","La contraseña se cambió correctamente.","",""
"Permission","Permiso","",""
"Permissions","Permisos","",""
"Permissions (fields)","Permisos (campos)","",""
"Personal","Personal","",""
"Personalized View","Vista personalizada","",""
"Personalized Views","Vistas personalizadas","",""
"Photo","Foto","",""
"Pink","Rosa","",""
"Placeholder","Texto de ejemplo","",""
"Please refresh your browser to see updated views.","Actualice su navegador para ver las vistas actualizadas.","",""
"Precision","Precisión","",""
"Preferences","Preferencias","",""
"Prefix","Prefijo","",""
"Previous state","Estado anterior","",""
"Priority","Prioridad","",""
"Processed","Procesado","",""
"Purple","Morado","",""
"QR code","Código QR","",""
"Read","Leer","",""
"Readonly","Solo lectura","",""
"Readonly if","Solo lectura si","",""
"Received on","Recibido el","",""
"Recipients","Destinatarios","",""
"Reconfigure","Reconfigurar","",""
"Record created","Registro creado","",""
"Record updated","Registro actualizado","",""
"Record was updated or deleted by another transaction.","El registro fue actualizado o eliminado por otra transacción.","",""
"Recovery Codes","Códigos de recuperación","",""
"Recovery codes","Códigos de recuperación","",""
"Recovery codes allow you to access your account if you lose access to your authentication device. Each code can only be used once.<br><p><strong>Important:</strong> Store these codes in a secure location. If you lose access to your authentication device and don't have recovery codes, you may be locked out of your account.</p>","Los códigos de recuperación le permiten acceder a su cuenta si pierde el acceso a su dispositivo de autenticación. Cada código solo puede utilizarse una vez.<br><p><strong>Importante:</strong> Guarde estos códigos en un lugar seguro. Si pierde el acceso a su dispositivo de autenticación y no tiene códigos de recuperación, podría perder el acceso a su cuenta.</p>","",""
"Red","Rojo","",""
"Reference error","Error de referencia","",""
"Regex","Expresión regular","",""
"Related","Relacionado","",""
"Related document id","ID del documento relacionado","",""
"Related document model","Modelo del documento relacionado","",""
"Related document name","Nombre del documento relacionado","",""
"Related model","Modelo relacionado","",""
"Related name","Nombre relacionado","",""
"Related object","Objeto relacionado","",""
"Relationship","Relación","",""
"Remove","Eliminar","",""
"Replies","Respuestas","",""
"Required","Obligatorio","",""
"Required field violation","Infracción de campo obligatorio","",""
"Required if","Obligatorio si","",""
"Restart jobs","Reiniciar trabajos","",""
"Restore all…","Restaurar todo…","",""
"Retry count","Número de reintentos","",""
"Revoke","Revocar","",""
"Revoking this API key will permanently disable it. Any services currently using this key will immediately lose access and won’t be able to authenticate. Are you sure you want to proceed?","Al revocar esta clave de API, quedará desactivada permanentemente. Los servicios que la estén utilizando perderán el acceso de inmediato y ya no podrán autenticarse. ¿Está seguro de que desea continuar?","",""
"Role","Rol","",""
"Roles","Roles","",""
"Root","Raíz","",""
"Rotate","Rotar","",""
"Rotating this API key will replace it with a new one. Services using the old key will lose access until updated. Do you want to proceed?","Al rotar esta clave de API, se sustituirá por una nueva. Los servicios que utilicen la clave anterior perderán el acceso hasta que se actualicen. ¿Desea continuar?","",""
"Rule","Regla","",""
"Rules","Reglas","",""
"SQL error","Error SQL","",""
"Scale","Escala","",""
"Schedule","Programación","",""
"Schedules","Programaciones","",""
"Schema","Esquema","",""
"Search","Buscar","",""
"Secret key","Clave secreta","",""
"Select","Seleccionar","",""
"Select Item","Elemento de selección","",""
"Selection","Selección","",""
"Selects","Selecciones","",""
"Send new code","Enviar un nuevo código","",""
"Separator","Separador","",""
"Sequence","Secuencia","",""
"Sequence order","Orden de secuencia","",""
"Server expression to check whether to use this field.","Expresión del servidor para comprobar si se debe utilizar este campo.","",""
"Session has been revoked","La sesión ha sido revocada","",""
"Set as default method","Establecer como método predeterminado","",""
"Shared","Compartido","",""
"Shared with me","Compartido conmigo","",""
"Show Model","Mostrar modelo","",""
"Show if","Mostrar si","",""
"Show permissions","Mostrar permisos","",""
"Signed in at:","Sesión iniciada el:","",""
"Single tab","Pestaña única","",""
"Size","Tamaño","",""
"Size in bytes","Tamaño en bytes","",""
"Spacer","Espaciador","",""
"Specify whether the members of this group are technical staff.","Especifica si los miembros de este grupo son personal técnico.","",""
"Specify whether this action can be used as home action.","Especifica si esta acción puede utilizarse como acción de inicio.","",""
"Status","Estado","",""
"Status:","Estado:","",""
"Stop service","Detener servicio","",""
"Store type","Tipo de almacenamiento","",""
"String","Cadena","",""
"Style","Estilo","",""
"Subject","Asunto","",""
"Subscribe","Suscribirse","",""
"Success","Correcto","",""
"Suffix","Sufijo","",""
"Summary","Resumen","",""
"System notification","Notificación del sistema","",""
"Table","Tabla","",""
"Tag","Etiqueta","",""
"Tag count","Número de etiquetas","",""
"Tag label","Texto de la etiqueta","",""
"Tag method","Método de etiqueta","",""
"Tag style","Estilo de etiqueta","",""
"Tags","Etiquetas","",""
"Target custom model","Modelo personalizado de destino","",""
"Target json model","Modelo JSON de destino","",""
"Target model","Modelo de destino","",""
"Task","Tarea","",""
"Task closed","Tarea cerrada","",""
"Task created","Tarea creada","",""
"Task date","Fecha de la tarea","",""
"Task deadline","Fecha límite de la tarea","",""
"Task duration","Duración de la tarea","",""
"Tasks","Tareas","",""
"Tasks assigned to me","Tareas asignadas a mí","",""
"Tasks created by me","Tareas creadas por mí","",""
"Tasks due","Tareas próximas a vencer","",""
"Tasks todo","Tareas pendientes","",""
"Teal","Verde azulado","",""
"Team","Equipo","",""
"Teams","Equipos","",""
"Teamwork","Trabajo en equipo","",""
"Technical staff","Personal técnico","",""
"The addition data for UI widgets","Los datos adicionales para los componentes de la interfaz","",""
"The color to use for tags","El color que se utilizará para las etiquetas","",""
"The image icon to show in UI widgets","El icono de imagen que se mostrará en los componentes de la interfaz","",""
"The record(s) are referenced by other records. Please remove all the references first.","Los registros están referenciados por otros registros. Elimine primero todas las referencias.","",""
"The record(s) can't be updated as it violates unique constraint.","Los registros no se pueden actualizar porque infringen una restricción de unicidad.","",""
"The scheduler service has been stopped.","Se ha detenido el servicio de programación.","",""
"The scheduler service is disabled.","El servicio de programación está desactivado.","",""
"The select item title","El título del elemento de selección","",""
"The select item value","El valor del elemento de selección","",""
"The value you entered doesn't meet the required constraint.","El valor introducido no cumple la restricción requerida.","",""
"The value you entered exceeds the maximum allowed length. Please use fewer characters.","El valor introducido supera la longitud máxima permitida. Utilice menos caracteres.","",""
"The verification code is invalid.","El código de verificación no es válido.","",""
"The verification code you entered is incorrect.","El código de verificación introducido es incorrecto.","",""
"Theme","Tema","",""
"Theme Management","Gestión de temas","",""
"Themes","Temas","",""
"This is your current session","Esta es su sesión actual","",""
"This is your new API key. <br> Please make sure to copy and store it securely now — you won't be able to view it again later.","Esta es su nueva clave de API. <br> Asegúrese de copiarla y guardarla de forma segura ahora; no podrá volver a verla más adelante.","",""
"This may terminate any running jobs. Are you sure you want to continue?","Esto puede finalizar los trabajos que estén en ejecución. ¿Está seguro de que desea continuar?","",""
"This model is flagged as delegated. Make appropriate change depending on the delegation requirements.","Este modelo está marcado como delegado. Realice el cambio correspondiente según los requisitos de delegación.","",""
"This will make the theme available for users. Are you sure you want to continue?","Esto habilitará el tema para los usuarios. ¿Está seguro de que desea continuar?","",""
"This will revert any users having this theme with the default theme. Are you sure you want to continue?","Esto restablecerá el tema predeterminado para los usuarios que tengan este tema. ¿Está seguro de que desea continuar?","",""
"This will update job with current settings. Are you sure you want to continue?","Esto actualizará el trabajo con la configuración actual. ¿Está seguro de que desea continuar?","",""
"Time","Hora","",""
"Title","Título","",""
"Token","Token","",""
"Token key","Clave del token","",""
"Too many requests. You can retry in {0} seconds.","Demasiadas solicitudes. Puede volver a intentarlo en {0} segundos.","",""
"Tooltip","Información emergente","",""
"Topic","Tema de conversación","",""
"Topic closed","Tema de conversación cerrado","",""
"Topic created","Tema de conversación creado","",""
"Topic re-opened","Tema de conversación reabierto","",""
"Topics","Temas de conversación","",""
"Track change ?","¿Registrar cambios?","",""
"Tracking","Seguimiento","",""
"Transaction ID","ID de transacción","",""
